Song Title,Lyrics
Cla** of 2013,"Mom, I'm tired <br> Can I sleep in your house tonight? <br> Mom, is it alright <br> If I stay for a year or two? <br> Mom, I'll be quiet <br> It would be just to sleep at night <br> And I'll leave once I figure out <br> How to pay for my own life too  <br>  <br>  <br>  <br> Mom, would you wash my back? <br> This once, and then we can forget <br> And I'll leave what I'm chasing <br> For the other girls to pursue <br> Mom, am I still young? <br> Can I dream for a few months more?"
Crack Baby,Down empty streets sniffing glue me and you <br> Blank open eyes watch the moonflower bloom <br> It's been a long hard twenty-year summer vacation <br> All these twenty years trying to fill the void <br> Crack baby you don't know what you want <br> But you know that you had it once <br> And you know that you want it back <br> Crack baby you don't know what you want <br> But you know that you're needing it <br> And you know that you need it bad <br> With wild horses running through your hollow bones <br> Wild horses running through your hollow bones <br> Went to your room thinking maybe you'll feel something <br> But all I saw was your burning body waiting <br> All these twenty years on a vacation  <br>  <br>  <br>  <br> Crack baby you don't know what you want <br> But you know that you had it once <br> And you know that you want it back <br> Crack baby you don't know what you want <br> But you know that you're needing it <br> And you know that you need it bad <br> Crack baby you don't know what you want <br> But you know that you want it <br> Yeah you know that you want it <br> You know that you <br> Crack baby you don't know what you want <br> But you know that you need it <br> And you know that you need it bad <br> With wild horses running through your hollow bones <br> Wild horses running through your hollow bones <br> Wild horses running through your hollow bones <br> Wild horses running through your hollow bones
Dan The Dancer,Dan had very long limbs <br> From leading day to day <br> Lean onto a cliff <br> That stretched him everyday <br> And when she'd ask to hold hands <br> He would smile and <br> Let one of his hands go <br> His whole life in one hand <br> His whole life <br> When he'd say goodnight and <br> Leave her doorstep <br> He'd use his last strength <br> To wave back <br> And once back in his room <br> Once back in his room <br> He'd return his waving hand <br> Back to its cliff <br> He liked it more than life itself <br> I'm sure  <br>  <br>  <br>  <br> Cause Dan had never danced outside of his room <br> When no one was home and he would stop to hear the door <br> So when he moved with you <br> And felt his body let go <br> Of course you couldn't know <br> It was you and you alone <br> That he had shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> He would never tell you that it was his first time
Drunk Walk Home,I will retire to the salton sea <br> At the age of 23 <br> For I'm starting to learn I may never be free <br> But though I may never be free <br> f** you and your money <br> I'm tired of your money <br> And I sit on the curb 'cause it's the prettiest night  <br>  <br>  <br>  <br> With no one else in sight <br> You know I wore this dress for you <br> These k**er heels for you <br> See the dark it moves <br> With every breath of the breeze <br> (aaaaaaaa etc) <br> Credits <br> From bury me at ma
Eric,"You like control, well I do too <br> Take off my clothes and watch me move <br> You can come closer, I'll let you <br> Hurt me how you choose <br> Help me with the zipper on my skirt, it's stuck <br> As you kneel I'll be watching you fix me <br> This view of you, of the top of your head, <br> Makes me forgive you <br> But how long, how long can we play this way <br> I'm tired, I'm tired of not loving you <br> My heart, my heart wants to hold you  <br>  <br>  <br>  <br> But I know, I know, I know the rules <br> Blue light, dark room, the white of your teeth <br> As you smile at my trembling shoulders <br> But your skin, did you notice your skin <br> It cries a soft weep like mine <br> I'll sell, I'll sell my heart to you <br> What's my, what's my, what's my price <br> How 'bout, how 'bout just a part of you <br> 'Cause I want, I want, I want, I want <br> I want I want I want I want I want"
Everyone,"Everyone, all of them <br> Everyone said, ""Don't go that way"" <br> So, of course, to that, I said <br> ""I think I'll go that way"" <br> And I left the door open to the dark <br> I said, ""Come in, come in, whatever you are"" <br> But it didn't want me yet <br> Then like a babe in a crib <br> After some big hand turns out the light <br>  <br>  <br>  <br> And I opened my arms wide to the dark <br> I said, ""Take it all, whatever you want"" <br> I didn't know that I was young <br> I didn't know what it would take <br> I didn't know what it would take <br> Sometimes I think I am free <br> Until I find I'm back in line again"
Fireworks,"One morning this sadness will fossilize <br> And I will forget how to cry <br> I'll keep going to work and he won't see a change <br> Save perhaps a slight gray in my eye <br> I will go jogging routinely <br> Calmly and rhythmically run <br> And when I find that a knife sticking out of my side <br> I'll pull it out without questioning why <br> And then one warm summer night <br> I'll hear fireworks outside <br> And I'll listen to the memories as they cry, cry, cry  <br>  <br>  <br>  <br> I will be married to silence <br> The gentleman won't say a word <br> But you know, oh you know in the quiet he holds <br> Runs a river that'll never find home <br> And then one warm summer night <br> I'll hear fireworks outside <br> And I'll listen to the memories as they cry, cry, cry <br> Oh, one warm summer <br> I'll hear fireworks outside <br> And I'll listen to the memories as they cry, cry, cry <br> Cry, cry, cry <br> Cry, cry, cry"
First Love / Late Spring,"The black hole <br> Of the <br> Window <br> Where you sleep <br> The night breeze <br> Carries <br> Something sweet <br> A peach tree <br> Wild women don't get the blues <br> But I find that <br> Lately I've been crying like a <br> Tall child <br> So please hurry leave me <br> I can't breathe <br> Please don't say you love me <br> 胸がはち切れそうで <br>  <br>  <br>  <br>  <br> One word from you and I would <br> Jump off of this <br> Ledge I'm on <br> Baby <br> Tell me ""don't,"" <br> So I can <br> Crawl back in <br> And I was so young <br> When I behaved <br> Twenty five <br> Yet now I find <br> I've grown into <br> A tall child <br> And I don't wanna go home yet <br> Let me walk to the top of the big night sky"
Folly,"Folly, I was falling <br> I was taller than I wanted to be <br> Hollow, swallowed <br> I was following <br> You were faster than a gelding <br> In my mind you're a crow <br> A spirit animal I am won't to know <br> But I don't want to be responsible <br> Molding, I was folding  <br>  <br>  <br>  <br> Your clothing in some kind of dream <br> Loving, I was hovering <br> I was flipping, fleeting, doving <br> In my dreams you're a bathtub running <br> You are warm and tender and bubbling <br> Oh, you are cold and bristling and struggling"
Francis Forever,"I don't know what to do without you <br> I don't know where to put my hands <br> I've been trying to lay my head down <br> I'm writing this at 3am <br> I don't need the world to see <br> That I've been the best I can be, but <br> I don't think I could stand to be <br> Where you don't see me <br> On sunny days I go out walking <br> I end up on a tree-lined street  <br>  <br>  <br>  <br> I look up at the gaps of sunlight <br> I miss you more than anything <br> I don't need the world to see <br> That I've been the best I can be, but <br> I don't think I could stand to be <br> Where you don't see me <br> And autumn comes when you're not yet done <br> With the summer pa**ing by, but <br> I don't think I could stand to be <br> Where you don't see me"
