Song Title,Lyrics
Album of the Year Acceptance Speech (Grammys 2016),"I want to thank the fans for the last 10 years <br> And the recording academy for giving us this unbelievable honor <br> I want to thank all of the collaborators that you see on this stage <br> Mostly I want to thank my co-executive producer Max Martin <br> Who has deserved to be up here for 25 years <br> And as the first woman to win album of the year at the Grammy's twice <br> I want to say to all the young women out there <br> There are going to be people along the way who, will try to undercut your success  <br>  <br>  <br>  <br> Or take credit for your accomplishments or your fame <br> But if you just focus on the work <br> And you don't let those people side track <br> Some day when you get where you're going <br> And you will it was you and the people who love you <br> Who put you there <br> And that will be the greatest feeling in the world <br> Thank you for this moment"
All Because Of Ellen,"All the other kids with the pumped up kicks <br> You better run <br> You better run <br> Outrun my gun <br> All the other kids with the pumped up kicks <br> You better run <br> You better run <br> Faster than my bullet <br> Ellen works a long day <br> Giving weird interviews in a slick, cool sweater <br> And it gets kinda weird <br> Yeah, calling us like we're boyfriend and girlfriend <br> But it's not cause were just sitting here <br> Ans we got cat videos and dance on Betty White and stuff <br> And it's always gonna get weird <br> Cause this song is all about Ellen <br> Every single time I come on this show <br> It's really weird <br> Really weird <br> All because of Ellen  <br>  <br>  <br>  <br> Every single time I come on this show <br> It's really weird <br> Really weird <br> Always end up dancing <br> I've been on this show <br> Eight times now and I still remember <br> Ellen hiding in the bathroom with a hidden camera <br> And she scared me so bad and I fell and I could of died <br> She's always asks me who I'm dating <br> Every time I'm on this show <br> And I don't even know why <br> But it gets five million hits on youtube <br> Cause, Every single time I come on this show <br> It's really weird <br> Really weird <br> All because of Ellen <br> Every single time I come on this show <br> It's really weird <br> Really weird <br> Always end up dancing"
All Night Diner,"I wake up <br> I stretch out <br> I wonder what you're doin' right now <br> Yeah I slept, in my makeup again <br> Tell myself 'I must be crazy' <br> Thinkin' 'bout him <br> I find myself, something decent to wear <br> Take the towel, out of my hair <br> About that time, you call me <br> And I'm reminded, without you - <br> (Chorus) <br> I'd be a stranger in an all night diner <br> Waiting for a love to find her <br> Lonely like a harbor light <br> That's never seen a boat <br> Like a line in an old love letter  <br>  <br>  <br>  <br> No one ever wrote <br> I go to work <br> Work all day <br> I'm a walking tape recorder <br> Of everything you say <br> Walk to the car, dig out my keys <br> Start thinking if you were with anyone but me <br> (Chorus) <br> There you are <br> On the street <br> Just standing there, waiting on me <br> I show you, my new shoes <br> You say you love them <br> 'Nd baby without you - <br> (Chorus) <br> I wake up <br> I stretch out <br> I wonder what you're doin' right now"
All Too Well,"I walked through the door with you, the air was cold <br> But something about it felt like home somehow <br> And I left my scarf there at your sister's house <br> And you still got it in your drawer, even now <br> Oh, your sweet disposition and my wide-eyed gaze <br> We're singing in the car getting lost upstate <br> Autumn leaves falling down like pieces into place <br> And I can picture it after all these days <br> And I know it's long gone <br> And that magic's not here no more <br> And I might be okay <br> But I'm not fine at all <br> 'Cause there we are again, on that little town street <br> You almost ran the red 'cause you were looking over me <br> Wind in my hair, I was there, I remember it all too well <br> Photo album on the counter, your cheeks were turning red <br> You used to be a little kid with gla**es in a twin-size bed <br> Your mother's telling stories about you on the tee ball team <br> You tell me about your past, thinking your future was me <br> And I know it's long gone <br> And there's nothing else I could do <br> And I forget about you long enough <br> To forget why I needed to <br> 'Cause there we are again, in the middle of the night <br> We're dancing around the kitchen in the refrigerator light <br> Down the stairs, I was there, I remember it all too well  <br>  <br>  <br>  <br> And maybe we got lost in translation, maybe I asked for too much <br> But maybe this thing was a masterpiece 'til you tore it all up <br> Running scared, I was there, I remember it all too well <br> And you call me up again just to break me like a promise <br> So casually cruel in the name of being honest <br> I'm a crumpled up piece of paper lying here <br> 'Cause I remember it all, all, all too well <br> Time won't fly, it's like I'm paralyzed by it <br> I'd like to be my old self again, but I'm still trying to find it <br> After plaid shirt days and nights when you made me your own <br> Now you mail back my things and I walk home alone <br> But you keep my old scarf from that very first week <br> 'Cause it reminds you of innocence and it smells like me <br> You can't get rid of it 'cause you remember it all too well, yeah <br> 'Cause there we are again, when I loved you so <br> Back before you lost the one real thing you've ever known <br> It was rare, I was there, I remember it all too well <br> Wind in my hair, you were there, you remember it all <br> Down the stairs, you were there, you remember it all <br> It was rare, I was there, I remember it all too well"
All Too Well (Sad Girl Autumn Version),"[Verse 1] <br> I walked through the door with you, the air was cold <br> But somethin' 'bout it felt like home somehow <br> And I left my scarf there at your sister's house <br> And you've still got it in your drawer, even now <br> [Verse 2] <br> Oh, your sweet disposition and my wide-eyed gaze <br> We're singin' in the car, getting lost upstate <br> Autumn leaves fallin' down like pieces into place <br> And I can picture it after all these days <br> [Pre-Chorus] <br> And I know it's long gone and <br> That magic's not here no more <br> And I might be okay, but I'm not fine at all <br> Oh, oh, oh <br> [Chorus] <br> 'Cause there we are again on that little town street <br> You almost ran the red 'cause you were lookin' over at me <br> Wind in my hair, I was there <br> I remember it all too well <br> [Verse 3] <br> Photo album on the counter, your cheeks were turnin' red <br> You used to be a little kid with glasses in a twin-sized bed <br> And your mother's tellin' stories 'bout you on the tee-ball team <br> You taught me 'bout your past, thinkin' your future was me <br> And you were tossing me the car keys, ""fu*k the patriarchy"" <br> Keychain on the ground, we were always skippin' town <br> And I was thinkin' on the drive down, ""Any time now <br> He's gonna say it's love,"" you never called it what it was <br> 'Til we were dead and gone and buried <br> Check the pulse and come back swearin' it's the same <br> After three months in the grave <br> And then you wondered where it went to as I reached for you <br> But all I felt was shame and you held my lifeless frame <br> [Pre-Chorus] <br> And I know it's long gone and <br> There was nothing else I could do <br> And I forget about you long enough <br> To forget why I needed to <br> [Chorus] <br> 'Cause there we are again in the middle of the night <br> We're dancin' 'round the kitchen in the refrigerator light <br> Down the stairs, I was there <br> I remember it all too well <br> And there we are again when nobody had to know <br> You kept me like a secret, but I kept you like an oath <br> Sacred prayer and we'd swear <br> To remember it all too well, oh-oh-oh-oh <br> [Bridge] <br> And maybe we got lost in translation, maybe I asked for too much <br> Maybe this thing was a masterpiece 'til you tore it all up <br> Runnin' scared, I was there <br> I remember it all too well <br> And you call me up again just to break me like a promise <br> So casually cruel in the name of bein' honest <br> I'm a crumpled-up piece of paper lyin' here <br> 'Cause I remember it all, all, all <br> [Verse 4] <br> They say all's well that ends well, but I'm in a new hell <br> Every time you double-cross my mind <br> You said if we had been closer in age, maybe it would've been fine <br>  <br>  <br>  <br> And that made me want to die <br> The idea you had of me, who was she? <br> A never-needy, ever-lovely jewel whose shine reflects on you <br> Not weepin' in a party bathroom <br> Some actress askin' me what happened, you <br> That's what happened, you <br> You who charmed my dad with self-effacing jokes <br> Sippin' coffee like you're on a late-night show <br> But then he watched me watch the front door all night, willin' you to come <br> And he said, ""It's supposed to be fun turning twenty-one"" <br> [Verse 5] <br> Time won't fly, it's like I'm paralyzed by it <br> I'd like to be my old self again, but I'm still tryin' to find it <br> After plaid shirt days and nights when you made me your own <br> Now you mail back my things and I walk home alone <br> But you keep my old scarf from that very first week <br> 'Cause it reminds you of innocence and it smells like me <br> You can't get rid of it <br> 'Cause you remember it all too well, yeah <br> [Chorus] <br> 'Cause there we are again when I loved you so <br> Back before you lost the one real thing you've ever known <br> It was rare, I was there <br> I remember it all too well <br> Wind in my hair, you were there <br> You remember it all <br> Down the stairs, you were there <br> You remember it all <br> It was rare, I was there <br> I remember it all too well <br> [Verse 6] <br> And I was never good at tellin' jokes, but the punch line goes <br> ""I'll get older, but your lovers stay my age"" <br> From when your Brooklyn broke my skin and bones <br> I'm a soldier who's returning half her weight <br> And did the twin flame bruise paint you blue? <br> Just between us, did the love affair maim you too? <br> 'Cause in this city's barren cold <br> I still remember the first fall of snow <br> And how it glistened as it fell <br> I remember it all too well <br> [Outro] <br> Just between us, did the love affair maim you all too well? <br> Just between us, do you remember it all too well? <br> Just between us, I remember it (Just between us) all too well <br> Just between us, I remember it <br> Wind in my hair, I was there, I was there (I was there) <br> Down the stairs, I was there, I was there (I was there) <br> Sacred prayer, I was there, I was there <br> It was rare, you remember it all too well <br> Wind in my hair, I was there, I was there <br> Down the stairs, I was there, I was there (I was there) <br> Sacred prayer, I was there, I was there <br> It was rare, you remember it (All too well) <br> Wind in my hair, I was there, I was there (Oh) <br> Down the stairs, I was there, I was there <br> Sacred prayer, I was there, I was there <br> It was rare, you remember it"
All You Had To Do Was Stay,"People like you always want back the love they gave away <br> And people like me wanna believe you when you say you've changed <br> The more I think about it now the less I know <br> All I know is that you drove us off the road <br> Stay <br> Hey, all you had to do was stay <br> Had me in the palm of your hand <br> Then, why'd you had to go and lock me out when I let you in <br> Stay, hey, now you say you want it <br> Back now that it's just too late <br> Well could've been easy <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay <br> Here you are now, calling me up, but I don't know what to say <br> I've been picking up the pieces of the mess you made <br> People like you always want back the love they pushed aside <br> But people like me are gone forever when you say goodbye <br> Stay <br> Hey, all you had to do was stay <br> Had me in the palm of your hand <br> Then, why'd you had to go and lock me out when I let you in <br> Stay, hey, now you say you want it  <br>  <br>  <br>  <br> Back now that it's just too late <br> Well could've been easy <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay <br> Let me remind you this was what you wanted <br> You ended it <br> You were all I wanted <br> But not like this <br> Not like this <br> Not like this <br> Oh, all you had to do was stay <br> Hey, all you had to do was stay <br> Had me in the palm of your hand <br> Then, why'd you had to go and lock me out when I let you in <br> Stay, hey, now you say you want it <br> Back now that it's just too late <br> Well could've been easy <br> All you had to do was stay <br> Hey, all you had to do was stay <br> Had me in the palm of your hand <br> Then, why'd you had to go and lock me out when I let you in <br> Stay, hey, now you say you want it <br> Back now that it's just too late <br> Well could've been easy <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay <br> All you had to do was stay"
Am I Ready For Love,"[Verse 1] <br> Sometimes I wonder how it's going to feel <br> Will my first love be true and real? <br> Will I be ready when my heart starts to fall? <br> What will I do when my love comes to call? <br> And my daddy tells me that I light up his world <br> Everyday he says, darling you're my best girl <br> He tried to teach me from the very start <br> The meaning of love so nobody breaks my heart <br> [Chorus] <br> Will my love come in a bowl of fire? <br> Will it be filled with hope and desire? <br> Will my love come in a pouring rain? <br> Am I ready for the joy, am I ready for the pain <br> Am I ready for the boy, am I ready for love <br> [Verse 2] <br> I know I'm not a little girl anymore <br> Cause I'm feeling things I've never felt before <br> Sweet sensations and anticipations <br> Calling commotion to my emotions  <br>  <br>  <br>  <br> And I hear the words my daddy said to me <br> He said be true 2 yourself & keep your spirit free <br> And love will find you one way or another <br> Be good to yourself and be good to each other <br> [Chorus] <br> [Verse 3] <br> It's a run around the world <br> And it's moving so fast <br> Though I want to find <br> A love that's going to last <br> A love so strong <br> That I can withstand <br> The weight of the world <br> In the palm of its hand <br> [Chorus] <br> Will my love come in a bowl of fire? <br> Will it be filled with hope and desire? <br> Will my love come in a pouring rain? <br> Am I ready for the joy, am I ready for the pain <br> Am I ready for the boy, am I ready for this game <br> Am I ready for the kiss, am I ready for the stars <br> Am I ready for the bliss, am I ready for love"
American Boy,"[Verse 1] <br> American boy, living life as it goes <br> Sitting on the fence posts <br> Living in the lie <br> American boy, living in the real world <br> Trying just to get the girl <br> Trying to survive <br> [Chorus] <br> The simple things in life are always new <br> Growing up on Sam Hill avenue <br> Mama makes her cookies and daddy's just <br> The greatest living hero that ever was <br> Nothing in the world can ever once destroy <br> The hope of an American boy <br> [Verse 2] <br> Living off of bar tips, trying for relationships <br> Looking for the love <br> Suddenly rise, an American beauty  <br>  <br>  <br>  <br> Suddenly he cheats, sent from above <br> [Chorus] <br> [Verse 3] <br> American boy, raising little babies <br> Hearing daddy maybe, I'll be like you <br> Suddenly life, seems just like a new dawn <br> That's grown up, American boy <br> [Chorus] <br> The simple things in life are always new <br> Growing up on Grandview avenue <br> Mama makes her cookies and daddy's just <br> The greatest living hero that ever was <br> Nothing in the world will ever once destroy <br> No, nothing in the world will ever once destroy <br> The hope of an American boy"
American Girl,"[Verse 1] <br> Well, she was an American girl <br> Raised on promises <br> She couldn't help thinking that there was a little more to life <br> Somewhere else <br> After all it was a great big world <br> With lots of places to run to <br> And if she had to die trying <br> She had one little promise she was going to keep <br> [Chorus] <br> Oh yeah, all right <br> Take it easy baby <br> Make it last all night <br> She was an American girl <br> [Verse 2] <br> Well, it was kind of cold that night <br> She stood alone on her balcony  <br>  <br>  <br>  <br> She could see the cars roll by <br> Out on 441 <br> Like waves crashing on the beach <br> And for one desperate moment there <br> He crept back in her memory <br> God, it's so painful <br> It's something that's so close but still so far out of reach <br> [Chorus] <br> [Chorus] <br> Oh yeah, all right <br> Take it easy baby <br> Make it last all night <br> Oh yeah, all right <br> Take it easy baby <br> Oh, take it easy now <br> [Outro] <br> Oh yeah, all right <br> She was an American girl"
Angelina,"[Verse 1] <br> Angelina's got a pretty face <br> And really long brown hair <br> Lives somewhere in some wide open space <br> I've never been there <br> I guess some people come around and purpose she <br> But I don't cause <br> [Chorus] <br> I have always been a bit reckless <br> And I am not your typical princess <br> I'm fine just a bit of a mess <br> And I'm not perfect you could say <br> I wasn't brought up that way <br> Just watched Stephen run across the field <br> Watched him catch the ball  <br>  <br>  <br>  <br> He's got everything you'd wanna be <br> He's funny, dark and tall <br> Watch him run across to Angelina <br> But I won't cause <br> [Chorus] <br> Stardom pushed across the line <br> Tripped over my two feet hey oh yeah <br> But ain't it funny how <br> It all comes out <br> Isn't life sweet? <br> I have always been a bit reckless <br> And I am not your typical princess <br> I'm fine just a bit of a mess <br> And I'm not perfect you could say <br> [Chorus]"
