Song Title,Lyrics
Foreigner's God,She moves with shameless wonder <br> The perfect creature rarely seen <br> Since some lie I brought the thunder <br> When the land was godless and free <br> Her eyes look sharp and steady <br> Into the empty parts of me <br> Still my heart is heavy <br> With the hate of some other mans beliefs <br> Always a well dressed for <br> Who wouldnt spare the wrong <br> Never for me <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> The purest expression of grief <br> Wondering who I'll copy <br> Muster in some tender charm <br> She feels no control of her body <br> She feels no safety in my arms <br> I've no language left to sing  <br>  <br>  <br>  <br> All I do is crave to her <br> Breaking if I try convay it <br> The broken love I make to her <br> All that I've been taught <br> And every word ive got <br> Is foreign to me <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> The purest expression of grief <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> The purest expression of grief <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> Screaming the name <br> of a foreigner's God <br> The purest expression of grief
From Eden,"Babe, there's something tragic about you <br> something so magic about you <br> don't you agree <br> Babe, there's something lonesome about you <br> something so wholesome about you <br> Get closer to me <br> no tight side, no rolling eyes, no irony <br> no 'who cares', no vacant stares, no time for me <br> Honey you're familiar like my mirror years ago <br> Idealism in prison, chivalry fell on it's sword <br> Innocence died screaming, honey ask me I should know <br> I slithered here from eden just to sit outside your door <br> Babe, there's something wretched about this <br> something so precious about this <br> oh what a sin/where to begin <br> (Live) Babe, there's something broken about  <br>  <br>  <br>  <br> sponsored links <br> but I might be open about this <br> oh what a sin <br> To the strand a picnic plan for you and me <br> a rope in hand for your other man to hang from a tree <br> Honey you're familiar like my mirror years ago <br> Idealism sits in prison, chivalry fell on it's sword <br> Innocents died screaming, honey ask me I should know <br> I slithered here from eden just to sit outside your door <br> Honey you're familiar like my mirror years ago <br> Idealism sits in prison, chivalry fell on it's sword <br> Innocence died screaming, honey ask me I should know <br> I slithered here from eden just to hide outside your door"
From Eden (Live In America),"Babe, there's something tragic about you <br> Something so magic about you <br> Don't you agree? <br> Babe, there's something lonesome about you <br> Something so wholesome about you <br> Get closer to me <br> No tired sighs, no rolling eyes, no irony <br> No 'who cares', no vacant stares, no time for me <br> Honey, you're familiar like my mirror years ago <br> Idealism sits in prison, chivalry fell on its sword <br> Innocence died screaming, honey, ask me I should know <br> I slithered here from Eden just to sit outside your door <br> Babe, there's something wretched about this <br> Something so precious about this <br> [Live version inclusion: <br> Where to begin <br> Babe, there's something broken about this <br>  <br>  <br>  <br> But I might be hoping about this.] <br> Oh, what a sin <br> To the strand a picnic plan for you and me <br> A rope in hand for your other man to hang from a tree <br> Honey, you're familiar like my mirror years ago <br> Idealism sits in prison, chivalry fell on its sword <br> Innocence died screaming, honey, ask me I should know <br> I slithered here from Eden just to sit outside your door <br> Honey, you're familiar like my mirror years ago <br> Idealism sits in prison, chivalry fell on its sword <br> Innocence died screaming, honey, ask me I should know <br> I slithered here from Eden just to hide outside your door"
Hozier,1. Take Me to Church <br> 2. Angel of Small d**h & the Codeine Scene <br> 3. Jackie and Wilson <br> 4. Someone New <br> 5. To be Alone <br> 6. From Eden <br> 7. In a Week (featuring Karen Cowley) <br> 8. Sedated <br> 9. Work Song  <br>  <br>  <br>  <br> 10. Like Real People Do <br> 11. It Will Come Back <br> 12. Foreigner's God <br> 13. Cherry Wine <br> 14. In The Woods Somewhere [*] <br> 15. Run [*] <br> 16. Arsonist's Lullabye [*] <br> 17. My Love Will Never Die [*]
In A Week,"I have never known peace like the damp gra** that yields to me <br> I have never known hunger like these insects that feast on me <br> A thousand teeth and yours among them, I know <br> Our hungers appeased, our heart beats becoming slow <br> We'll lay here for years or for hours <br> Thrown here or found, to freeze or to thaw <br> So long, we'd become the flowers <br> Two corpses we were, two corpses I saw <br> And they'd find us in a week <br> When the weather gets hot <br> After the insects have made their claim <br> I'll be home with you, I'll be home with you <br> I have never known sleep like this slumber that creeps to me <br> I have never known colors like this morning reveals to me <br> And you haven't moved an inch such that I would not know <br> If you sleep always like this, flesh calmly going cold  <br>  <br>  <br>  <br> We'll lay here for years or for hours <br> Your hand in my hand, so still and discreet <br> So long, we'd become the flowers <br> We'd feed well the land and worry the sheep <br> And they'd find us in a week <br> When the cattle'd show fear <br> After the insects have made their claim <br> After the foxes have known our taste <br> I'll be home with you, I'll be home with you <br> And they'd find us in a week <br> When the buzzards get loud <br> After the insects have made their claim <br> After the foxes have known our taste <br> After the raven has had his say <br> I'll be home with you, I'll be home with you <br> I'll be home with you, I'll be home with you <br> I'll be home with you, I'll be home with you"
In The Woods Somewhere,"Her head was warm, <br> Her skin was soaked. <br> I called your name 'til the fever broke. <br> When I awoke <br> The moon still hung. <br> The night so black that the darkness hummed <br> I raised myself. <br> My legs were weak. <br> I prayed my mind be good to me. <br> An awful noise <br> Filled the air. <br> I heard a scream in the woods somewhere. <br> A woman's voice! <br> I quickly ran <br> Into the trees with empty hands. <br> A fox it was, <br> He shook afraid. <br> I spoke no words, no sound he made. <br>  <br>  <br>  <br>  <br> His bone exposed, <br> His hind was lame. <br> I raised a stone to end his pain. <br> What caused the wound? <br> how large the teeth? <br> I sure knew eyes were watching me. <br> The creature lunged. <br> I turned and ran <br> To save a life I didn't have. <br> Deer in the chase <br> There as I flew <br> Forgot all prayers of joining you. <br> I clutched my life <br> And wished it kept. <br> My dearest love I'm not done yet <br> How many years <br> I know I'll bear <br> I found something in the woods somewhere."
It Will Come Back,"You know better babe, you know better babe, <br> Than to look at it, look at it like that. <br> You know better babe, You know better babe, <br> Than to talk to it, talk to it like that. <br> Don't give it a hand, offer it a soul <br> Honey, it's easy. <br> Leave it to the land, this is what it knows <br> Honey, that's how it sleeps. <br> Don't let it in with with no intention to keep it <br> Jesus Christ! Don't be kind to it. <br> Honey don't feed it - it will come back. <br> You know better babe, you know better babe, <br> Than to smile at me, smile at me like that <br> You know better babe, you know better babe, <br> Than to hold me just, hold me just like that. <br> I know who I am when I'm alone  <br>  <br>  <br>  <br> Something else when I see you <br> You don't understand, you should never know <br> How easy you are to need <br> Don't let me in with with no intention to keep me <br> Jesus Christ! Don't be kind to me. <br> Honey don't feed me - I will come back. <br> I can't be unlearned <br> I've known the warmth of your doorways <br> Through the cold, I'll find my way back to you <br> Oh please, give me mercy no more. <br> That's a kindness you can't avoid! <br> I want you baby tonight, as sure as you're born <br> You'll hear me howling outside your door. <br> Don't you hear me howling babe? <br> Won't you hear me howling babe? <br> Once you here me howling babe!"
Jackie And Wilson,"So tired trying to see from behind the red in my eyes, no better version of me I could pretend to be tonight. <br> So deep in this swill with the most familiar of swine for reasons wretched and divine. <br> She blows outta nowhere on the candle of the wild laughing away through my feeble disguise no other version of me I would rather be tonight. <br> Cause lord she found me just in time <br> Cause with my menu prices so said and done I need to be youthfully felt cause god I never felt young <br> Shes gonna save call me baby run her hands through my hair <br> Shell know me crazy sooth me daily <br> Better yet she wouldn't care <br> We'll steal her Lexus be detectives ride round picking up clues we'll name our children Jackie and Wilson raise em on rhythm and blues. <br> Lord it be great to find a place we could escape sometimes <br> Me and my isis growing black irises in the sunshine every version of me dead and buried in the yard outside.  <br>  <br>  <br>  <br> Sit back and watch the world go by. <br> Happy to lye back watch it burn and rust we tried the world good god it wasn't for us. <br> Shes gonna save call me baby run her hands through my hair <br> Shell know me crazy sooth me daily <br> Better yet she wouldn't care <br> sponsored links <br> We'll steal her Lexus be detectives ride round picking up clues we'll name our children Jackie and Wilson raise em on rhythm and blues. <br> Cut clean from the green at night let my mind reset looking up from the cigarette and shes already left <br> I start picking the art of whats left of me and our little vignette for whatever poor soul is coming next <br> Shes gonna save call me baby run her hands through my hair <br> Shell know me crazy sooth me daily <br> Better yet she wouldn't care <br> We'll steal her Lexus be detectives ride round picking up clues we'll name our children Jackie and Wilson raise em on rhythm and blues."
Jackie and Wilson (Live In America),"So tired trying to see from behind the red in my eyes, <br> No better version of me I could pretend to be tonight. <br> So deep in this swill with the most familiar of swine <br> For reasons wretched and divine. <br> She blows outta nowhere, roman candle of the wild <br> Laughing away through my feeble disguise <br> No other version of me I would rather be tonight. <br> And, Lord, she found me just in time <br> 'Cause with my mid-youth crisis all said and done <br> I need to be youthfully felt 'cause, God, I never felt young <br> She's gonna save me, <br> Call me ""baby"" <br> Run her hands through my hair <br> She'll know me crazy, <br> Soothe me daily <br> Better yet she wouldn't care <br> We'll steal her Lexus, <br> Be detectives, <br> Ride 'round picking up clues <br> We'll name our children <br> Jackie and Wilson, <br> Raise 'em on rhythm and blues. <br> Lord, it'd be great to find a place we could escape sometime <br> Me and my Isis growing black irises in the sunshine <br> Every version of me dead and buried in the yard outside. <br>  <br>  <br>  <br> Sit back and watch the world go by. <br> Happy to lie back watch it burn and rust <br> We tried the world, good God, it wasn't for us. <br> She's gonna save me, <br> Call me ""baby"" <br> Run her hands through my hair <br> She'll know me crazy, <br> Soothe me daily <br> Better yet she wouldn't care <br> We'll steal her Lexus, <br> Be detectives, <br> Ride 'round picking up clues <br> We'll name our children <br> Jackie and Wilson, <br> Raise 'em on rhythm and blues. <br> Cut clean from the dream at night let my mind reset <br> Looking up from a cigarette, and she's already left <br> I start digging up the yard for what's left of me and our little vignette <br> For whatever poor soul is coming next <br> She's gonna save me, <br> Call me ""baby"" <br> Run her hands through my hair <br> She'll know me crazy, <br> Soothe me daily <br> Better yet she wouldn't care <br> We'll steal her Lexus, <br> Be detectives, <br> Ride 'round picking up clues <br> We'll name our children <br> Jackie and Wilson, <br> Raise 'em on rhythm and blues."
Like Real People Do,"I had a thought, dear <br> However scary <br> About that night <br> The bugs and the dirt <br> Why were you digging? <br> What did you bury <br> Before those hands pulled me <br> From the earth? <br> [Pre-Chorus] <br> I will not ask you where you came from <br> I will not ask you and neither should you <br> [Chorus] <br> Honey just put your sweet lips on my lips  <br>  <br>  <br>  <br> We should just kiss like real people do <br> I knew that look dear <br> Eyes always seeking <br> sponsored links <br> Was there in someone <br> That dug long ago <br> So I will not ask you <br> Why you were creeping <br> In some sad way I already know <br> [Pre-Chorus] <br> [Chorus] <br> [Repeat 2x]"
